ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,Khoảng cách đường bộ km,khoang_cach_chim_bay_km,tinh_thanh_sau_sap_nhap,tinh_thanh,khoang_cach_chim_bay,Khoảng cách đường bộ,thời gian,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord
94400000,CN 12 Thành phố Hồ Chí Minh,106.6409777,10.7996853,90635000,PGD Đô Thành,106.6756618,10.7892362,4.8,3.962620110171035,TP. Hồ Chí Minh,,,,,94400000__90635000,90635000__94400000,"10.79969,106.64098__10.78924,106.67566","10.78924,106.67566__10.79969,106.64098"
94700000,CN Thủ Đức,106.7575507,10.8576366,90635000,PGD Đô Thành,106.6756618,10.7892362,14.1,11.74038501296576,TP. Hồ Chí Minh,,,,,94700000__90635000,90635000__94700000,"10.85764,106.75755__10.78924,106.67566","10.78924,106.67566__10.85764,106.75755"
90800000,CN 4 Thành phố Hồ Chí Minh,106.7025623,10.7659462,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,5.0,2.924937045447962,TP. Hồ Chí Minh,,,,,90800000__90636000,90636000__90800000,"10.76595,106.70256__10.78939,106.69042","10.76595,106.70256__10.78939,106.69042"
92000000,CN 5 Thành phố Hồ Chí Minh,106.6738508,10.756692,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,5.4,4.061711923037577,TP. Hồ Chí Minh,,,,,92000000__90636000,90636000__92000000,"10.75669,106.67385__10.78939,106.69042","10.75669,106.67385__10.78939,106.69042"
92200000,CN 6 Thành phố Hồ Chí Minh,106.6648231,10.7532743,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,6.0,4.89369390575625,TP. Hồ Chí Minh,,,,,92200000__90636000,90636000__92200000,"10.75327,106.66482__10.78939,106.69042","10.75327,106.66482__10.78939,106.69042"
92400000,CN 7 Thành phố Hồ Chí Minh,106.6991015,10.801716,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,2.4,1.666360332743249,TP. Hồ Chí Minh,,,,,92400000__90636000,90636000__92400000,"10.80172,106.69910__10.78939,106.69042","10.78939,106.69042__10.80172,106.69910"
92600000,CN 8 Thành phố Hồ Chí Minh,106.6653111,10.7423991,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,7.6,5.901575016377188,TP. Hồ Chí Minh,,,,,92600000__90636000,90636000__92600000,"10.74240,106.66531__10.78939,106.69042","10.74240,106.66531__10.78939,106.69042"
92631000,PGD Xóm Củi,106.65075,10.7477778,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,7.4,6.339711065914114,TP. Hồ Chí Minh,,,,,92631000__90636000,90636000__92631000,"10.74778,106.65075__10.78939,106.69042","10.74778,106.65075__10.78939,106.69042"
92800000,CN 9 Thành phố Hồ Chí Minh,106.6788024,10.82797,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,5.4,4.473495337814059,TP. Hồ Chí Minh,,,,,92800000__90636000,90636000__92800000,"10.82797,106.67880__10.78939,106.69042","10.78939,106.69042__10.82797,106.67880"
93230000,PGD Vĩnh Lộc,106.596,10.8158889,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,13.3,10.72578752530476,TP. Hồ Chí Minh,,,,,93230000__90636000,90636000__93230000,"10.81589,106.59600__10.78939,106.69042","10.78939,106.69042__10.81589,106.59600"
94000000,CN 10 Thành phố Hồ Chí Minh,106.673082,10.765361,90636000,PGD Hai Bà Trưng,106.6904219,10.7893918,4.2,3.275323924196553,TP. Hồ Chí Minh,,,,,94000000__90636000,90636000__94000000,"10.76536,106.67308__10.78939,106.69042","10.76536,106.67308__10.78939,106.69042"
